"SubjectID","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent","eTIV"
"sub-455",1060,475,1913,1101,477,2964,4133,2956,836,3885,2174,2476,1583,2762,592,1101,1509,579,1245,1064,3578,903,4581,3632,497,5135,6529,5194,3349,3828,276,439,397,2276,75498.4,1090000,1570000
"sub-460",1160,591,1917,1349,414,3130,4607,3031,729,5126,2435,2557,1646,3281,589,1197,1752,736,1258,1068,4032,962,4337,3496,607,4966,6633,4901,3501,3589,241,396,386,2275,78894.8,1060000,1550000
"sub-461",763,554,1879,1570,556,2669,3308,3428,973,4876,2328,3581,1798,3207,603,1237,1366,951,1484,1502,3517,754,4103,3672,551,4919,6341,5607,3928,3754,178,451,469,2379,79253.3,1090000,1630000
"sub-048",960,678,2055,1319,378,2926,4127,2928,791,4086,2658,2680,2020,3276,692,1114,1425,784,1496,1066,4119,923,4645,3639,819,5958,7423,4732,3913,4484,210,524,490,2333,81672.6,1090000,1820000
"sub-049",1916,981,2378,1800,451,3589,5806,4722,1189,6101,2970,3402,2566,4603,664,1577,2301,752,1631,1391,4879,1530,4715,4630,1125,6151,7496,5582,5161,5358,257,566,417,2561,101219,1330000,1520000
"sub-005",807,596,2524,1552,413,2751,3998,3270,925,5654,2824,3222,2048,3280,509,1284,1762,844,1221,1549,3680,1165,4346,3376,868,5390,7226,5589,3660,4010,298,506,423,2197,83765.1,1100000,1450000
"sub-055",966,378,2207,1447,497,2954,4233,3404,886,5414,2152,3312,1650,2950,524,1255,1285,758,1186,1496,3963,911,5307,3694,707,5856,6264,5275,3785,4373,291,470,508,2213,82572.8,1120000,1630000
"sub-056",1060,854,2809,1568,409,3420,4744,3777,1076,5725,3018,3652,2236,3511,682,1498,1480,663,1083,1786,4242,1179,4841,4186,1067,5496,8145,5713,4461,4540,283,422,456,2659,92739.5,1210000,1650000
"sub-060",1266,640,2438,1421,439,3914,5374,4013,1050,5124,3054,3161,2345,3829,805,1537,1475,733,1279,1244,5073,1178,5402,4235,1144,6739,8659,6630,4355,4177,317,506,446,2327,96327.1,1220000,1540000
"sub-061",903,494,2315,1196,406,2664,4699,3703,888,3879,2968,2321,2222,3268,621,1478,1796,692,1222,772,3579,1160,4313,3527,942,5236,7878,5395,3967,4395,283,436,488,2357,82461,1090000,1430000
"sub-064",928,509,2203,1323,714,2800,3966,3722,692,4374,2479,2813,1806,3201,605,1201,1324,699,1072,1421,3643,957,4675,3132,587,5285,6897,5402,3637,3768,269,393,423,2035,78956.7,1030000,1560000
"sub-068",890,496,1733,1125,393,2840,4206,2809,731,4412,1909,2534,1514,2823,782,1274,1161,488,984,1032,3613,1160,4410,3119,524,3721,6185,4582,3636,4078,191,411,541,2008,72317.1,1e+06,1400000
"sub-007",941,665,2081,1294,289,2942,4578,3268,810,3807,2564,2722,1851,2944,676,1365,1735,592,1147,1373,3670,987,4451,3566,777,5182,6324,5314,3504,3755,240,430,374,1964,78182.8,996982,1250000
"sub-089",1359,801,2512,1853,496,2979,5051,3028,1052,6429,2926,3664,2428,3277,558,1465,1540,920,1485,1947,4395,1166,5036,3853,945,7527,8374,6407,4294,4254,343,429,446,2099,95338.4,1250000,1530000
"sub-090",648,397,2365,1575,330,2646,2953,2121,724,4680,2106,3142,1550,2262,604,1308,1262,670,963,1416,3783,868,5050,3483,674,4734,7303,5166,4466,3588,279,464,619,2263,76462.4,1090000,1570000
"sub-092",1055,642,2622,1618,455,3377,4864,4073,1000,6223,3107,2920,2182,3820,659,1394,2231,780,1876,1444,3702,1428,4794,4116,883,6835,8413,5387,4736,3760,308,471,503,2382,94058.9,1280000,1660000
"sub-093",1286,642,3229,1589,338,3383,6461,3552,1288,6251,2889,3200,2013,3462,650,1515,1900,670,1395,1239,4917,1517,5112,4382,922,5934,8260,5848,4815,4926,273,378,675,2424,97336.6,1250000,1640000
"sub-095",1049,526,2029,1406,348,2715,4135,3114,840,5058,2454,3227,2143,3310,704,1216,1978,644,1216,1323,2913,1002,4071,3294,593,6961,8756,4385,3885,2767,319,443,435,2003,81262.5,1020000,1320000
"sub-096",926,792,2121,1412,404,2715,4375,2564,767,4329,2494,2709,1765,2822,571,1198,2025,702,1512,1484,3639,1119,4919,3649,953,4424,6541,5435,4055,4264,162,409,525,2697,80479.7,1060000,1470000
"sub-097",1165,761,2697,1492,464,3397,4998,3602,1099,4712,2419,3170,2049,3017,751,1466,1717,723,1303,1105,4922,1308,5631,4596,992,5467,8170,5715,4253,4816,289,589,481,2438,91775.5,1260000,1880000
"sub-911",914,653,2455,1590,424,3260,4433,3917,832,5049,2318,3297,1898,3565,759,1483,1435,697,1447,1151,3842,1266,4662,3229,557,6420,7470,5762,4149,4588,235,374,428,2145,86705.6,1316940,1685590
"sub-912",952,570,1730,1295,409,3226,3448,3049,686,4331,1816,2821,1626,3502,589,1158,1289,587,1044,1204,3692,886,4475,3456,571,4987,6158,4320,3828,3570,207,346,491,2044,74365,1089560,1323870
"sub-940",979,731,2126,1411,190,3192,4117,3159,778,4617,2383,3202,1569,3318,580,1304,1545,694,1223,1091,4143,971,4353,3414,728,5334,7112,4756,4080,4139,242,347,474,2220,80521,1071260,1047400
"sub-954",975,423,2091,1132,354,3084,3417,2661,593,3972,1967,2768,1572,2500,640,1168,1151,557,1028,1057,3731,957,4750,2978,753,4465,6572,4504,3861,3092,198,400,471,2116,71956.5,1020030,1398580
"sub-913",959,568,2062,1353,415,3604,3116,3225,666,4855,1799,2870,1423,3080,617,1160,1222,513,961,1386,3444,891,3972,3024,573,4484,5949,4772,3649,3704,234,458,445,1902,73355.5,1066030,1526030
"sub-919",986,704,1916,1629,565,3169,4023,3213,988,5323,2198,3162,1677,2987,602,1327,2048,646,1390,1657,4334,974,4439,3650,833,5353,6936,5566,3995,4492,279,533,376,2439,84407.4,1192820,1656580
"sub-928",1240,651,2553,1369,423,3287,4604,3355,898,4422,2399,2727,1870,3532,665,1489,1788,644,1463,1014,4205,1125,4921,3424,928,6121,8406,4592,4777,4217,256,487,500,2380,86729.2,1212400,1582200
"sub-951",946,624,2519,1388,456,3120,4189,3169,780,4231,1983,2676,1687,2843,557,1138,1284,468,961,1270,3459,876,5059,3810,555,4617,6300,5283,3420,4429,183,554,397,1868,77097,1070690,1239120
"sub-969",877,481,1565,1318,530,3497,3924,2978,750,4916,2100,2616,1566,2576,642,1017,1458,537,1105,1035,3806,828,4633,3200,575,3793,5449,4164,3357,3297,257,467,364,1874,71549.9,1009590,1487250
"sub-978",737,493,2192,1193,489,2839,3802,3249,811,4502,2271,2902,1758,2797,572,1125,1571,638,1349,1011,3468,898,4087,3014,717,5127,6325,5000,3327,3130,284,483,395,1988,74546.1,1072680,1294830
"sub-991",1291,713,2833,1720,480,3326,5252,3406,936,5823,2480,3344,1848,3335,754,1488,1782,673,1502,1606,4269,1096,5505,3663,804,5941,8773,4665,4061,3462,271,524,486,2347,90457.5,1254670,1641350
"sub-980",997,691,2143,1505,367,3106,4163,3612,1056,4625,2467,2647,1788,3347,650,1219,1308,722,1303,1255,3795,1116,4474,3633,619,5231,7230,5692,3757,3496,227,399,376,2056,81073.6,1100800,1553310
"sub-985",795,567,2662,1447,545,3282,3461,3623,927,5148,2816,3563,1989,3151,689,1312,2069,795,1494,1627,4853,1050,5382,4281,1019,5040,8347,5992,4104,4066,255,492,482,2277,89601.2,1186750,1540140
"sub-997",859,567,2156,1744,576,3171,4698,3200,897,7058,2490,3627,1845,3270,638,1346,1276,649,1368,1827,4065,1053,4904,3930,853,5915,7277,4822,3775,3972,335,463,431,2304,87363.8,1221540,1689380
"sub-903",1196,550,2263,1958,587,3624,4752,4135,1007,7272,2618,3494,1901,4146,696,1405,1772,811,1823,1540,4242,1165,4897,3792,866,6707,8391,6377,4722,3989,272,527,513,2197,96204.2,1308770,1800000
"sub-906",916,759,2066,1686,499,3070,3947,3673,761,4749,2388,3314,1784,3251,562,1137,1296,677,1159,1479,4029,1008,4765,3360,856,5523,7161,4511,4165,3612,307,492,498,2454,81912.6,1111360,1530570
"sub-921",1826,589,2233,1493,609,3483,5797,3918,1191,5681,2866,3139,1889,4258,677,1268,1645,715,1236,1351,5151,1056,5568,4092,1116,5252,8363,5147,4832,3827,251,470,504,2553,94044.7,1279360,1644500
"sub-952",887,618,2536,1276,406,2911,3617,3641,729,4527,2380,3138,1590,3444,636,1224,1757,637,1358,1225,3923,1042,4668,3934,759,4989,6821,5048,4188,3856,236,308,439,1979,80724,1138790,1530810
"sub-970",838,577,2286,1411,518,3111,3818,3334,854,4603,2357,2769,1600,3104,824,1106,1752,662,1438,1257,3985,1156,4554,3222,803,5162,7285,4039,4202,4313,244,458,555,2512,80709.2,1161240,1297950
"sub-974",1174,548,2350,1304,616,3156,4085,3792,990,3852,2337,3086,1727,3350,585,1260,1684,734,1259,1261,4217,1262,4524,3545,858,5523,7624,5279,3414,3998,195,478,404,2397,82868.8,1208740,1224390
"sub-983",964,599,2286,1338,315,3381,3925,2923,876,4299,2355,2932,1487,2984,668,1179,1355,651,1161,1418,3710,989,4403,3780,866,5159,7511,5298,3820,3614,210,367,442,2342,79605.1,1130870,1519870
"sub-995",666,601,2113,1354,360,3265,4139,4271,708,4521,2081,2958,1328,3560,652,1244,1589,552,1043,1304,3918,996,5191,3043,682,4260,6353,5402,3483,3795,256,355,492,2207,78743,1094190,1550460
"sub-907",815,660,3035,1399,412,3311,3870,4246,904,6244,3053,2869,1918,4187,725,1553,1952,730,1534,1075,4675,1238,5283,4252,824,7113,9927,5299,4492,4461,201,530,555,2483,95824.3,1318650,1821160
"sub-910",1152,416,2495,1593,516,4220,4587,4308,922,5685,2669,3366,1903,3791,721,1605,1853,755,1280,1572,5259,953,6151,4187,893,5878,9064,5680,4946,5416,196,505,530,2434,97500.9,1379100,1889480
"sub-923",1019,754,2407,1509,341,3574,4858,3794,966,5060,2223,2708,1767,3300,695,1317,1967,633,1552,1088,4250,1181,4828,3867,765,5502,6979,5606,4112,4895,269,346,513,2242,86887.2,1140430,1598570
"sub-930",954,458,1684,1217,409,2548,4141,3349,793,4395,2113,2852,1597,2996,563,1014,1594,575,1312,1126,3088,961,3830,2731,604,4765,6559,4184,3615,2810,257,420,458,2104,72077.3,997574,1442200
"sub-946",1023,734,1857,1326,343,3628,3956,3890,928,4792,2213,3325,1757,3089,817,1360,1555,663,1241,1371,4153,1155,4611,3296,904,5780,7800,4428,3658,3666,216,466,353,2316,82671.9,1213180,1576350
"sub-971",778,731,1998,1183,512,2984,4077,3313,974,4904,2001,3052,1936,3014,613,1437,1714,608,1224,1262,3908,1181,4753,3460,1054,4188,6914,5006,3407,3964,211,498,425,2034,79316.4,1091510,1136790
"sub-901",975,618,1780,1457,454,3512,3454,4086,656,4340,2035,3055,1389,3928,728,1226,1266,459,1139,1503,3561,1058,4191,3677,607,4330,6194,5065,3765,3382,239,473,444,1955,76998.2,1088890,1539060
"sub-918",1020,592,2200,1422,493,3331,3524,3974,806,4755,2114,3414,1614,3284,537,1124,1252,633,1254,1334,3689,910,4701,3116,506,5037,6204,4672,4446,4124,276,554,530,2073,79514.9,1093790,1525570
"sub-920",1173,548,2898,1590,452,2992,5698,3722,1085,5806,3068,3254,2314,3836,645,1394,1673,712,1503,1402,4136,1147,4781,4044,885,5666,7520,5675,4074,4027,289,539,449,1933,90929.8,1204160,1464850
"sub-944",946,615,2526,1557,560,3173,4351,3717,974,4850,3081,2851,1805,2978,737,1240,1623,739,1206,1040,4309,1134,4813,3778,793,5998,7506,5491,3963,3717,254,540,464,2306,85637.5,1137430,1460800
"sub-963",889,482,1443,1383,457,2783,2943,3073,750,3943,2400,2832,1978,2723,576,1231,1267,613,1226,1331,3398,909,4098,2599,556,4769,6157,5068,3580,3147,269,468,400,2054,71793.2,980953,1197000
"sub-979",1019,663,2483,1820,591,3416,3932,3819,1274,5020,2987,3544,2309,3383,718,1478,1773,734,1386,1482,5050,1339,5487,3998,909,5693,7873,6067,4255,4771,265,547,440,2499,93023.4,1260090,1655820
"sub-939",749,655,3057,2000,423,3769,4874,4494,1273,7112,3162,4188,2196,4114,786,1623,1805,784,1718,1817,5610,1295,5967,5054,1141,6954,10524,6566,4549,3663,332,660,578,3133,106627,1371590,1713580
"sub-976",984,433,2107,1332,377,3424,5104,2922,895,5724,2169,2973,1578,3139,751,1233,1562,693,1156,1243,3902,939,4811,3406,598,5012,7096,5611,3515,4216,296,541,360,2356,82461.9,1034120,1335700
"sub-989",1228,606,2477,1424,392,3336,5194,4223,1125,5248,3277,2698,2242,3723,729,1426,1885,800,1644,1306,4038,1151,5064,3945,979,5805,8476,6241,4485,5109,302,556,469,2726,94326.2,1287680,1709570
"sub-934",1004,689,2036,1555,461,3238,5553,3861,820,4695,2475,2783,1696,3749,814,1338,1488,767,1429,1091,4134,1103,4039,4335,953,6080,7516,6044,4209,4519,251,576,548,2355,88202.7,1153710,1495730
"sub-929",863,574,2440,1681,448,2777,4707,3589,1210,4703,2931,3049,1831,3282,536,1518,1613,754,1174,1330,4517,1038,5183,4042,814,5318,7252,6251,3631,4789,320,453,390,2424,87434.2,1128240,1562420
"sub-931",924,528,2225,1966,306,2893,4907,3839,909,5108,2850,3251,2250,3375,604,1217,1383,745,1368,1700,4204,1061,4487,3471,664,5321,6981,5927,3868,3505,255,444,440,2042,85016.1,1050260,1303240
"sub-938",816,1030,2312,1695,470,3074,4307,3785,837,5071,3268,2802,2234,3221,674,1557,1523,690,1125,1410,4446,1419,5122,3678,936,5617,7544,5400,3653,3860,259,580,441,2180,87036.6,1179880,1532810
"sub-961",842,884,2538,1768,381,2606,3727,3508,970,5619,3251,2857,2108,3449,617,1344,2089,724,1237,1513,3997,1159,4737,3350,939,6578,7365,5127,4197,4731,285,424,535,2423,87876.8,1135910,1432670
"sub-977",1368,683,2680,1786,637,4012,6372,4615,952,5966,3656,3042,2067,4130,772,1546,2152,947,1729,1451,4929,1382,5671,4082,1080,7595,8608,7500,4861,6441,343,630,513,2749,106947,1316820,1553560
"sub-909",892,551,2079,1489,340,2834,3766,2505,1022,4827,2857,2464,2094,3017,623,1262,1771,711,1186,1215,3858,993,4608,3284,670,4900,7059,5310,3916,4350,244,501,461,2137,79795.2,1042820,1428000
"sub-941",843,907,1957,1417,351,2732,3910,3097,835,4355,2398,2624,1779,2915,629,1225,1360,565,942,1331,3361,980,4228,2829,977,4479,6993,5004,3408,3735,238,402,393,2366,75564.3,978409,1415830
"sub-950",824,430,1772,1497,393,2724,3922,3128,846,4790,2848,2566,2068,2943,566,1317,1316,778,1080,1224,3680,932,4341,3455,705,5679,7003,4855,3852,3871,335,420,591,2123,78874,1062090,1418880
"sub-965",705,516,2074,1223,445,2805,2924,3434,784,4373,2125,2928,1652,2725,572,1073,1548,616,1119,1278,3771,892,4219,3060,899,4661,6019,4018,3247,3582,257,496,468,2005,72511.5,930427,1246800
"sub-992",1063,701,1666,1708,413,2945,4597,3816,1027,5023,2378,2350,1823,3861,620,1204,1475,575,1010,1418,3670,1184,4400,3395,781,5322,6671,4985,3402,4392,382,495,371,2162,81286.8,1102190,1370620
"sub-932",1304,751,2729,1439,517,3813,5028,3569,1248,5726,3282,3376,2409,3626,787,1136,1572,849,1552,1414,4865,1503,5024,4828,1011,6412,7527,6126,5179,5403,343,570,603,2721,98241.5,1378640,1803490
"sub-943",988,477,2292,1767,574,3523,4455,3581,1087,5136,2669,2754,2007,3560,634,1492,1858,724,1402,1319,4498,1232,4997,3682,923,6502,7995,4884,4285,3589,300,547,457,2518,88708.9,1187160,1513790
"sub-958",947,752,2580,1778,447,3569,4393,3660,962,5750,2597,3258,1810,3333,647,1220,1473,694,1272,1804,4168,1467,4990,3200,996,6184,7723,4806,3398,3800,240,526,383,2554,87381.7,1154120,1397780
"sub-967",879,558,2342,1753,307,2947,4678,3638,974,5476,2736,3356,1773,3775,632,1221,1453,586,1044,1404,4012,1137,4595,3390,718,6168,7363,5241,3777,3776,262,524,402,2371,85267.4,1146950,1469040
"sub-968",1034,900,2179,1293,430,3013,4759,3483,1166,4365,2930,2565,2207,3472,666,1264,1691,806,1231,1144,4087,1199,4455,3868,1009,6567,6986,6287,4229,4178,261,521,399,2430,87072.3,1237840,1578570
"sub-994",861,577,2372,1602,490,2998,4215,3259,957,5389,2339,3086,1607,3038,730,1267,1218,536,1025,1430,4133,1204,4594,3934,630,5562,7619,5867,3786,3595,293,419,401,2176,83206.7,1115930,1471770
"sub-914",1002,526,2256,1680,448,3234,4318,3608,1102,5774,3689,3119,2239,3545,668,1473,1531,853,1543,1490,4241,1123,5241,4354,816,6164,7269,5756,4122,4174,228,419,540,2519,91063.2,1190580,1489040
"sub-933",1042,798,2585,1591,363,3920,5175,4191,1293,4929,3181,3254,2588,3265,740,1414,1646,734,1197,1199,4977,1566,5851,4316,1206,6417,8570,6477,4223,5001,294,626,615,2484,97730.7,1341530,1662890
"sub-915",1052,616,2183,1663,393,2892,4345,3377,774,5246,2440,3209,1995,3464,658,1437,1444,604,1094,1622,4261,1129,5015,3963,827,5535,8375,5593,4131,3780,289,475,446,2419,86744.7,1126940,1417630
"sub-959",1159,596,1950,1706,393,2868,4536,3238,1199,5993,2891,3536,2040,3052,620,1112,1655,804,1407,1741,4031,1124,4974,3751,854,5058,6973,4870,4038,3500,282,597,412,2592,85551.2,1189410,1528620
"sub-987",860,515,2009,1357,496,3181,4523,3952,937,5523,2705,2200,2289,3042,669,1189,1757,709,1249,1186,4197,1032,4860,3599,753,5225,6927,5190,3454,3829,238,499,418,2098,82668.4,1146060,1408810
"sub-904",723,496,1939,1258,386,2565,3710,2867,668,4291,2594,2461,1715,2491,595,1006,1306,579,1257,1047,3332,920,3806,3055,539,5383,6715,4908,3395,3634,253,439,414,1886,72634,968278,1274440
"sub-922",746,414,1451,1394,381,2778,3800,3278,849,4664,2343,2761,1739,2910,553,1025,1161,711,1204,1289,3331,931,3612,3153,526,4782,6020,4750,2988,2904,245,517,376,2116,71701.2,923191,1048010
"sub-957",1125,621,2271,1510,560,3127,4893,3092,1109,5413,2990,3547,1729,3099,748,1040,1815,745,1575,1373,4503,1413,4635,4117,1022,5849,7609,6082,3955,5082,252,487,476,2723,90588.4,1212000,1421820
"sub-964",939,657,1963,1208,302,2790,4241,3373,892,4384,2648,2512,2058,3241,620,1253,1517,589,1070,1001,3658,1166,4260,4077,914,4933,5693,6126,3591,3901,262,488,411,2057,78794.7,1026030,1342500
"sub-905",1349,1164,1955,1288,554,3536,5542,4537,1285,5272,3143,3052,2115,3884,769,1512,1435,771,1294,1212,4540,1427,5520,4966,1179,6076,9147,6124,4283,5388,261,598,467,2797,98443.1,1294870,1651820
"sub-916",1102,965,2640,1660,508,3361,4010,3427,926,5441,3102,3032,2188,3556,719,1335,1371,765,1022,1383,3923,1283,4507,4183,1047,6510,7221,6710,4084,4890,286,520,524,2094,90295.3,1186400,1541580
"sub-917",1149,908,2485,1688,532,3667,4078,4183,1131,5578,3366,3964,2465,3924,779,1778,1654,789,1423,1689,5021,1477,5337,4697,1027,6928,8441,6622,4917,5353,304,625,533,2627,101138,1331240,1717910
"sub-937",918,666,2698,1380,384,3030,4289,3727,724,5162,2670,2762,1896,3054,603,1457,1543,704,1134,1353,4275,1068,5118,3155,728,5653,7941,4985,3597,3099,220,478,427,2180,83078.5,1137700,1395750
"sub-993",876,632,2402,1583,416,3698,4445,3661,1200,5750,3094,3731,1933,3466,644,1111,1642,759,1636,1770,4115,1111,4471,3839,891,5966,7480,6367,3837,4500,300,525,390,2394,90635.3,1230790,1521540
"sub-924",899,631,1983,1192,554,2640,4804,3803,1004,4640,3014,2558,1946,3673,697,1364,1960,731,1630,901,3386,1189,4430,3892,867,5684,6321,6259,3951,4413,297,495,480,2547,84835.4,1198840,1495870
"sub-960",851,486,2326,1842,390,3057,3597,3175,1069,5365,2862,3329,2016,2955,587,1287,2192,751,1423,1516,3505,1034,4507,3683,736,5370,6835,5298,3653,3536,321,586,368,2341,82851.5,1078660,1473490
"sub-981",1308,668,2601,1762,472,3539,5269,4309,1188,5990,3110,3476,2207,4177,667,1358,1576,746,1231,1472,4846,1109,5732,4039,999,7099,8450,5832,4566,4574,324,557,455,2127,97833.7,1315630,1664920
"sub-935",800,593,1787,1498,518,3102,4542,2930,885,4901,2394,2404,1926,2562,591,1308,1447,680,1112,1187,3610,1077,4192,3824,768,5311,6491,6058,3308,3564,243,470,386,2049,78518.7,1081310,1403310
"sub-982",1013,871,2608,1882,676,3701,5769,3829,1193,5915,2879,3234,2487,3534,745,1640,1099,856,1187,1720,4702,1350,5695,4403,1063,7275,8077,6563,4664,3745,321,671,424,2511,98301.3,1416560,1896140
"sub-947",820,599,1926,1434,346,2725,3738,2962,864,4854,2627,2771,2012,2845,578,1222,1350,610,1187,1043,3466,1033,4357,3438,674,4937,7104,4834,3597,3573,318,398,437,2259,76939.4,1012370,1314390
"sub-956",934,585,2493,1277,389,3254,4576,3390,896,4290,3044,2840,2042,3153,657,1391,1764,701,1575,1273,4803,1109,4745,4121,998,5579,8272,5905,3975,4430,266,480,505,2510,88221.5,1137430,1432260
"sub-975",1095,975,2301,1153,416,2488,3597,3119,896,4469,2603,2681,1882,3023,554,1264,1305,670,1153,1066,3715,1151,4380,2960,1128,5383,6655,5253,3844,3559,240,434,441,2020,77872.2,965649,1304030
"sub-984",837,508,1454,1213,409,3128,3392,3243,813,3930,2314,2118,1748,2692,588,965,1523,569,1319,973,3344,927,3583,2851,452,5166,5840,3858,3089,3568,210,447,380,1806,69256.9,952029,1257660
"sub-998",972,570,2866,1921,608,3363,5028,3767,1135,6066,3099,3577,2279,3586,721,1445,1476,783,1469,1680,4147,1187,5216,4785,984,6125,8062,6780,4180,4026,294,547,491,2391,95625.8,1337380,1714540
"sub-953",999,711,2058,1199,380,3011,4150,3283,781,4416,3043,2785,1960,3318,624,1253,1415,582,1258,1120,3496,1051,4346,3758,705,5083,7224,4760,3898,3990,276,432,479,2161,80004.9,1005120,1392030
"sub-973",914,624,1867,1370,346,2689,4161,3309,966,4426,2464,2471,1873,3042,749,1221,1311,649,1284,943,3587,997,4313,4014,860,5074,6965,6151,3537,4288,248,460,392,2071,79635.1,1044120,1397810
"sub-948",881,589,2304,1688,353,2673,3641,3884,912,4693,2556,2676,1883,3301,699,1198,1965,649,1369,1155,4270,1379,4642,3235,791,5482,8399,5186,3840,3181,268,496,479,2531,83250.5,1123410,1460070
"sub-962",1391,613,2454,1774,351,3122,5489,3315,835,5219,2869,2809,1882,3438,622,1076,1905,662,1540,1610,3207,1040,5051,3768,916,6302,9085,3928,3595,3034,294,392,415,2198,86199.1,1172530,1441890
"sub-986",840,457,1891,978,460,2734,4631,3162,797,4561,2507,2535,1913,2891,556,1171,1359,609,1243,999,3321,995,3777,3388,565,4947,6643,4941,3443,3455,271,444,404,2110,74999.6,990163,1303020
"sub-966",1073,533,2483,1554,382,3306,5182,3642,1195,5368,2560,3032,1908,3217,584,1449,1342,697,1132,1442,4420,1077,5105,3634,876,6659,8489,5370,3967,5247,272,539,460,2887,91084.3,1121510,1483130
"sub-988",1471,819,2701,1492,517,3156,5758,4470,1303,5172,3260,3461,2064,4173,744,1559,2005,962,1619,1475,4808,1672,5404,3813,999,6515,8190,5807,4240,4441,256,639,480,2692,98133.2,1332680,1821540
"sub-926",821,782,1899,1594,464,2995,4286,3216,968,5263,2764,3416,2073,2951,722,1169,1604,738,1547,1759,3734,1151,4314,3842,845,5011,5780,5722,3409,3113,237,534,419,1884,81027.6,1061450,1300140
"sub-945",869,706,2112,1686,484,2937,4990,3512,1173,6191,2901,2963,2154,3215,591,1147,1747,781,1115,1365,3999,1164,4925,3376,832,5872,6582,5425,3998,3940,308,468,405,2202,86134.4,1113930,1388860
"sub-972",1429,1121,2431,2054,442,3504,5615,3114,1141,6002,2553,3748,2286,3650,720,1674,2084,765,1668,1897,4476,1422,5611,4209,1135,6764,8845,6214,4953,5130,346,592,620,2568,100787,1316500,1753320
"sub-990",832,762,2173,1276,368,2982,3559,3640,1060,4709,2719,2688,1881,3883,608,1295,1583,741,1352,1172,3837,1121,4278,3322,842,5503,6951,4966,4035,4238,246,594,396,2562,82170,1152470,1471620
"sub-996",1070,461,2022,1625,379,2949,4074,2919,907,5320,2064,3460,1524,3058,610,1190,1280,618,930,1726,3646,1071,4354,3195,628,5207,6989,4656,3691,3238,227,473,446,1958,77965.1,1052200,1363320
"sub-908",1094,573,1887,1580,364,2677,5229,3185,863,4399,2591,2702,1854,3193,604,1460,1425,690,1063,1401,4190,1254,5029,3916,783,4894,7420,5874,3416,4059,283,402,368,2252,82976.7,1115760,1448110
"sub-925",830,749,2342,1513,352,3179,4304,3036,1026,5638,2791,2581,2179,3018,699,1185,1865,592,1313,1055,4235,1133,4996,3896,665,5065,7076,5428,4005,3736,248,439,567,2252,83989.2,1157660,1397130
"sub-936",798,554,2217,1540,372,2677,3620,3519,797,4850,2815,2611,2028,3045,690,1340,1324,697,1182,1261,3537,1084,4869,3179,796,5385,6496,4472,3502,3479,266,506,399,2141,78050.5,1080590,1373780
"sub-955",731,530,2035,1241,321,2348,3756,3078,753,4026,2525,2679,1902,2896,516,1203,1193,511,834,1152,3403,812,4312,3476,656,4281,5857,3912,3256,2604,209,450,348,2069,69876,941842,1182770
"sub-902",819,804,2075,1533,369,2542,4524,3583,842,4764,2659,3174,2155,3755,567,1240,1436,665,1283,1401,3924,1193,4632,3500,969,5899,7198,5344,4089,3860,289,397,478,2329,84290.7,1119510,1420630
"sub-942",974,446,2258,1444,550,3483,4228,3918,1053,5489,2807,2536,2225,3490,702,1127,1707,829,1602,983,4239,1196,5221,3444,772,5934,7130,5255,3892,4279,273,507,465,2507,86967,1126320,1446650
"sub-949",850,568,2166,1453,412,2962,4139,3457,1015,5076,2712,3127,2172,3229,512,1350,1260,710,1126,1206,4391,1037,4888,3622,727,5219,7033,5904,4123,3976,274,573,466,2205,83940.1,1051640,1300580
"sub-999",983,625,2531,1666,526,3085,3971,3519,973,4865,2947,2927,2107,3218,729,1122,1512,639,1147,1550,3904,1045,5212,2863,892,6222,7420,4473,3886,3852,271,515,476,2740,84412.8,1192120,1442370
"sub-927",959,566,2553,1387,307,2816,4982,3206,968,5319,2687,3175,1909,3089,614,1349,1641,683,1031,1297,3621,1118,4635,3348,910,5113,7518,5110,3610,4621,241,446,440,2068,83337.3,1055660,1463640
